Year,District,barley_yield,maize_yield,buckwheat_yield,millet_yield,wheat_yield,paddy_yield,potato_yield,coffee_yield,tea_yield,lentil_yield,chickpeas_yield,pigeon-peas_yield,jute_yield,cotton_yield
2076,MAKWANPUR,1.41000,3.16000,1.08000,1.25000,3.37000,3.91000,17.49000,0.00000,0.00000,1.21000,0.92000,1.00000,0.00000,0.00000
2076,CHITWAN,1.92000,3.71000,1.09000,1.03000,4.59000,3.97000,17.57000,0.00000,0.00000,1.23000,1.00000,1.23000,0.00000,0.00000
2076,MANANG,1.76000,1.58000,1.87000,0.00000,1.40000,0.00000,16.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,MUSTANG,1.88000,1.67000,1.76000,0.00000,1.89000,0.00000,15.67000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2076,GORKHA,1.43000,2.58000,1.04000,1.27000,2.18000,3.44000,14.21000,0.13800,0.00000,0.96000,1.06000,0.88000,0.00000,0.00000
2076,LAMJUNG,1.48000,2.41000,0.96000,0.97000,0.85000,3.41000,14.98000,0.11500,0.00000,0.91000,0.00000,0.00000,0.00000,0.00000
2076,TANAHU,0.93000,3.25000,1.00000,0.90000,2.27000,3.97000,15.00000,0.21600,0.00000,1.05000,1.00000,0.89000,0.00000,0.00000
2076,KASKI,1.55000,2.54000,1.18000,1.23000,2.24000,3.75000,16.00000,0.22600,0.00000,1.10000,1.00000,1.00000,0.00000,0.00000
2076,PARBAT,1.32000,2.32000,1.01000,0.94000,2.56000,3.14000,15.95000,0.26500,0.00000,0.85000,1.00000,0.88000,0.00000,0.00000
2076,SYANGJA,1.49000,3.65000,0.99000,1.16000,2.59000,4.14000,15.76000,0.14200,0.00000,0.95000,0.92000,1.00000,0.00000,0.00000
2076,MYAGDI,1.35000,3.47000,0.98000,1.33000,2.49000,3.43000,15.63000,0.26500,0.00000,0.94000,0.00000,1.37000,0.00000,0.00000
2076,BAGLUNG,1.44000,3.49000,1.46000,1.24000,2.38000,3.57000,14.98000,0.23100,0.00000,0.94000,1.33000,0.80000,0.00000,0.00000
2076,NAWALPARASI EAST,1.22000,2.51000,0.99000,1.02000,2.72000,4.06000,16.21000,0.00000,0.00000,1.19000,1.19000,0.51000,0.00000,0.00000
2076,PALPA,1.78000,2.31000,0.94000,1.06000,2.56000,4.11000,14.45000,0.26400,0.00000,1.07000,1.08000,0.85000,0.00000,0.00000
2076,GULMI,1.76000,2.57000,1.19000,1.02000,2.95000,3.21000,14.21000,0.20800,0.00000,1.37000,1.20000,1.50000,0.00000,0.00000
2076,ARGHAKHANCHI,1.77000,3.45000,0.90000,1.28000,2.95000,3.25000,13.78000,0.00000,0.00000,0.94000,0.96000,0.00000,0.00000,0.00000
2076,NAWALPARASI WEST,1.11000,2.51000,0.97000,1.05000,2.75000,4.26000,16.97000,0.00000,0.00000,1.22000,1.19000,0.51000,0.00000,0.00000
